epoch,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
34,11024,,,,,0.5549412369728088,1.5842868089675903
34,11024,,,0.42618149518966675,1.961310625076294,,
35,11339,,,,,0.5593181252479553,1.5754835605621338
35,11339,,,0.4283657670021057,1.9524461030960083,,
36,11654,,,,,0.5590877532958984,1.5565271377563477
36,11654,,,0.43447181582450867,1.9376394748687744,,
37,11969,,,,,0.5641556978225708,1.5586645603179932
37,11969,,,0.4391878545284271,1.9169234037399292,,
38,12284,,,,,0.5699147582054138,1.530809760093689
38,12284,,,0.4345710873603821,1.9258772134780884,,
39,12599,,,,,0.5498732924461365,1.562341332435608
39,12599,,,0.4444499611854553,1.9053946733474731,,
40,12914,,,,,0.5821239352226257,1.5235685110092163
40,12914,,,0.44325852394104004,1.9041087627410889,,
41,13229,,,,,0.5701451301574707,1.5215057134628296
41,13229,,,0.45164814591407776,1.8830522298812866,,
42,13544,,,,,0.5745220184326172,1.5136185884475708
42,13544,,,0.4456910192966461,1.8882659673690796,,
43,13859,,,,,0.5726791024208069,1.5022835731506348
43,13859,,,0.4456413686275482,1.8871064186096191,,
44,14174,,,,,0.581663191318512,1.4893158674240112
44,14174,,,0.45174741744995117,1.8618643283843994,,
45,14489,,,,,0.5807417631149292,1.4990092515945435
45,14489,,,0.4545274078845978,1.8633158206939697,,
46,14804,,,,,0.5878829956054688,1.4788892269134521
46,14804,,,0.45556989312171936,1.8580209016799927,,
47,15119,,,,,0.6010136008262634,1.4455769062042236
47,15119,,,0.4591441750526428,1.8511033058166504,,
48,15434,,,,,0.5911080241203308,1.458931803703308
48,15434,,,0.4597398638725281,1.838112711906433,,
49,15749,,,,,0.5924901962280273,1.4722610712051392
49,15749,,,0.46450555324554443,1.8302022218704224,,
50,16064,,,,,0.5858097076416016,1.4425755739212036
50,16064,,,0.46455520391464233,1.817000389099121,,
51,16379,,,,,0.5807417631149292,1.4620047807693481
51,16379,,,0.46733519434928894,1.8078947067260742,,
52,16694,,,,,0.587422251701355,1.4280375242233276
52,16694,,,0.4654984176158905,1.811139702796936,,
53,17009,,,,,0.5890347957611084,1.438038945198059
53,17009,,,0.47423550486564636,1.7939592599868774,,
54,17324,,,,,0.5957152843475342,1.4131486415863037
54,17324,,,0.4721505045890808,1.8124371767044067,,
55,17639,,,,,0.593181312084198,1.4227614402770996
55,17639,,,0.4777601361274719,1.7884687185287476,,
56,17954,,,,,0.6070029735565186,1.3998823165893555
56,17954,,,0.47284552454948425,1.790318489074707,,
57,18269,,,,,0.5998618006706238,1.3900198936462402
57,18269,,,0.48361796140670776,1.7689087390899658,,
58,18584,,,,,0.6095369458198547,1.400559663772583
58,18584,,,0.4813840389251709,1.7751569747924805,,
59,18899,,,,,0.614374577999115,1.367615818977356
